city,year,lat,lon,records,avg_temp,avg_temp_max,avg_temp_min,avg_temp_range,avg_apparent_temp,avg_apparent_gap,avg_humidity,total_precipitation,avg_precipitation,rainy_days,heavy_rain_days,avg_wind,avg_wind_gust,windy_days,gusty_days,avg_sunshine_hour,sunny_days,low_sunshine_days,avg_shortwave,hot_days,extreme_hot_days,cold_days,freezing_days,avg_pm25,avg_pm10,avg_co,avg_no2,avg_so2,avg_ozone,avg_dust,good_air_days,polluted_days,dusty_days,ozone_high_days,climate_comfort_index,air_quality_score,tourism_comfort_index,pollution_index,summer_escape_index,winter_retirement_index,city_type
三亚,2016,18.2528,109.5119,366,25.555191256830604,28.043442622950817,23.59262295081967,4.450819672131147,29.106010928961748,3.550819672131148,83.36612021857924,1736.1,4.74344262295082,242,9,18.73224043715847,33.55464480874317,26,27,9.570406800242866,297,26,16.945819672131147,138,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,72.56379936486425,,,,36.75104320356129,84.77107661398001,滨海暖冬度假型
三亚,2017,18.2528,109.5119,365,25.62109589041096,28.00904109589041,23.74082191780822,4.268219178082192,28.96164383561644,3.340547945205479,81.02739726027397,1485.0,4.068493150684931,247,7,19.74465753424657,43.02739726027397,24,92,9.918894893455098,308,18,18.01323287671233,92,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,73.52713567136215,,,,38.7826903487618,86.43190468542751,滨海暖冬度假型
三亚,2018,18.2528,109.5119,365,25.445753424657536,27.87452054794521,23.481917808219176,4.392602739726027,28.663835616438355,3.2180821917808218,80.75342465753425,1341.1,3.674246575342465,228,13,19.42109589041096,42.367123287671234,23,89,9.82474109589041,304,24,18.21035616438356,83,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,73.5678407314496,,,,39.97875821418702,86.10435720277486,滨海暖冬度假型
三亚,2019,18.2528,109.5119,365,26.33178082191781,28.770958904109587,24.36657534246575,4.404383561643836,30.123013698630132,3.791232876712328,80.81369863013698,864.9,2.36958904109589,257,4,19.05068493150685,41.9558904109589,18,89,10.516436659056316,333,7,19.2046301369863,135,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,72.29288400084937,,,,35.68165746398768,87.889636432366,滨海暖冬度假型
三亚,2020,18.2528,109.5119,366,25.932513661202183,28.32486338797814,24.041256830601093,4.283606557377049,29.378415300546447,3.4459016393442625,80.56557377049181,1480.0,4.043715846994536,246,14,19.174316939890712,42.07896174863388,31,86,10.117211285670916,311,18,18.477158469945355,127,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,73.06299509242294,,,,35.84873744820213,86.83927396006219,滨海暖冬度假型
三亚,2021,18.2528,109.5119,365,25.665479452054797,28.133698630136983,23.64383561643836,4.48986301369863,28.88383561643836,3.218356164383562,79.56712328767124,1185.6,3.2482191780821914,232,11,19.61972602739726,42.68219178082192,27,85,10.47966420091324,329,15,19.316109589041098,118,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,73.35186001736912,,,,36.35325574415358,86.46497841406085,滨海暖冬度假型
三亚,2022,18.2528,109.5119,365,25.43671232876712,27.910958904109588,23.338630136986303,4.572328767123288,28.7827397260274,3.346027397260274,81.10958904109589,1491.7,4.086849315068493,246,14,18.800273972602746,38.76767123287672,12,46,9.767868873668188,298,21,18.7373698630137,104,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,74.00352870731608,,,,36.65535816943413,85.98390986416366,滨海暖冬度假型
三亚,2023,18.2528,109.5119,365,25.94383561643836,28.5827397260274,23.756164383561643,4.826575342465754,29.494520547945207,3.5506849315068494,80.15068493150685,1221.5,3.3465753424657536,251,11,19.04904109589041,40.59342465753425,24,75,10.185555654490106,321,18,19.351369863013694,140,0,0,0,12.483824200913244,20.268230593607303,237.7622146118721,4.903641552511416,3.088116438356164,72.6978310502283,0.1400684931506849,363.0,0.0,0.0,33.0,72.73551359822791,94.84422059065872,79.36812569595715,5.155779409341286,35.10067432578426,88.85830706283816,滨海暖冬度假型
三亚,2024,18.2528,109.5119,366,26.163661202185796,29.020491803278688,23.85218579234973,5.168306010928961,29.88715846994536,3.7234972677595626,79.90437158469945,1599.0,4.368852459016393,247,15,18.10464480874317,40.00136612021858,12,66,10.032661672738312,313,22,18.94603825136612,161,0,0,0,12.29707422586521,18.758959471766847,236.12556921675773,5.030885701275046,3.425933515482696,70.01514116575592,0.1240892531876138,364.0,0.0,0.0,17.0,72.95158615426863,95.00172123495074,79.56662667847326,4.998278765049271,35.51625902462985,89.46505263257052,滨海暖冬度假型
三亚,2025,18.2528,109.5119,365,25.407123287671237,28.60794520547945,22.92547945205479,5.682465753424657,28.570410958904112,3.1632876712328764,79.15890410958905,1906.4,5.223013698630138,247,15,18.99095890410959,42.48109589041096,21,87,9.84379196347032,303,21,18.876438356164385,139,0,0,0,13.619349315068494,15.62049086757991,244.1485159817352,6.382146118721461,3.897203196347032,69.93972602739726,0.7601598173515981,361.0,0.0,1.0,24.0,74.75050156663215,94.83077908345707,80.77458482167962,5.16922091654293,37.64335265916152,89.38672624818645,滨海暖冬度假型
