target,target_name,r2,rmse,mae,n_train,n_test
pm2_5,PM2.5,0.36446367508479005,21.090169241234957,15.911348355448181,16440,5480
pm10,PM10,0.06192481084641177,34.29940797236024,23.15110508440503,16440,5480
nitrogen_dioxide,NO2,0.37739450395989915,22.27439860589096,17.40257498113135,16440,5480
sulphur_dioxide,SO2,0.19076191434134282,37.857160361844215,22.538951808466365,16440,5480
ozone,O3,0.4313237067932074,22.563729372763575,17.77561368831806,16440,5480
dust,Dust,-2.8637062645843625,37.820657244028176,9.950169259684062,16440,5480
