,avg_pm25,avg_pm10,avg_co,avg_no2,avg_so2,avg_ozone,avg_dust,good_air_days,polluted_days,dusty_days,ozone_high_days,air_quality_score,pollution_index
avg_pm25,1.0,0.7218636580221669,0.8889941955438735,0.8212618337971381,0.7680835824695454,-0.7642343114661417,0.29124725318825434,-0.9712795277133607,0.9510352051045198,0.6002922785332289,-0.4298796503681927,-0.9866764526862776,0.9866764526862776
avg_pm10,0.7218636580221669,1.0,0.425413408123268,0.4590327775410357,0.2846692784874717,-0.45524720955984993,0.8717007907718517,-0.6706203132771158,0.7085018907246666,0.9175939066525014,-0.3402367019426343,-0.76310350265023,0.7631035026502302
avg_co,0.8889941955438735,0.425413408123268,1.0,0.856607430876547,0.846217525649376,-0.795433539429095,-0.04181153511782587,-0.8716179451863035,0.8507129145571862,0.31297402581299555,-0.4180749969699035,-0.8727585317743767,0.8727585317743767
avg_no2,0.8212618337971381,0.4590327775410357,0.856607430876547,1.0,0.9315203235979416,-0.9243996573724288,0.04818191731605791,-0.8377482868848021,0.6940271048747668,0.2741181573091076,-0.5393792582283943,-0.8529068176653849,0.852906817665385
avg_so2,0.7680835824695454,0.2846692784874717,0.846217525649376,0.9315203235979416,1.0,-0.8409708807038413,-0.1523261079287453,-0.7844163828159503,0.6700187536331984,0.12185047350990545,-0.4800318286949889,-0.7846505101753868,0.7846505101753869
avg_ozone,-0.7642343114661417,-0.45524720955984993,-0.795433539429095,-0.9243996573724288,-0.8409708807038413,1.0,-0.08367718395571215,0.7535888288646759,-0.6507660695960831,-0.23816678831579824,0.7804675980351717,0.7627480814722668,-0.7627480814722671
avg_dust,0.29124725318825434,0.8717007907718517,-0.04181153511782587,0.04818191731605791,-0.1523261079287453,-0.08367718395571215,1.0,-0.2413832727085759,0.3117406937568041,0.8447069699083187,-0.16530501839406084,-0.3565496616225536,0.3565496616225537
good_air_days,-0.9712795277133607,-0.6706203132771158,-0.8716179451863035,-0.8377482868848021,-0.7844163828159503,0.7535888288646759,-0.2413832727085759,1.0,-0.8787682104455873,-0.570740554771221,0.38908617233336246,0.9655216111768037,-0.9655216111768036
polluted_days,0.9510352051045198,0.7085018907246666,0.8507129145571862,0.6940271048747668,0.6700187536331984,-0.6507660695960831,0.3117406937568041,-0.8787682104455873,1.0,0.6065533078679334,-0.353095323157102,-0.9288422936371477,0.9288422936371473
dusty_days,0.6002922785332289,0.9175939066525014,0.31297402581299555,0.2741181573091076,0.12185047350990545,-0.23816678831579824,0.8447069699083187,-0.570740554771221,0.6065533078679334,1.0,-0.0970740683426625,-0.6393196171182605,0.6393196171182606
ozone_high_days,-0.4298796503681927,-0.3402367019426343,-0.4180749969699035,-0.5393792582283943,-0.4800318286949889,0.7804675980351717,-0.16530501839406084,0.38908617233336246,-0.353095323157102,-0.0970740683426625,1.0,0.4028283221084728,-0.40282832210847325
air_quality_score,-0.9866764526862776,-0.76310350265023,-0.8727585317743767,-0.8529068176653849,-0.7846505101753868,0.7627480814722668,-0.3565496616225536,0.9655216111768037,-0.9288422936371477,-0.6393196171182605,0.4028283221084728,1.0,-1.0
pollution_index,0.9866764526862776,0.7631035026502302,0.8727585317743767,0.852906817665385,0.7846505101753869,-0.7627480814722671,0.3565496616225537,-0.9655216111768036,0.9288422936371473,0.6393196171182606,-0.40282832210847325,-1.0,1.0
