city,lat,lon,records,avg_temp,avg_temp_max,avg_temp_min,avg_temp_range,avg_apparent_temp,avg_apparent_gap,avg_humidity,total_precipitation,avg_precipitation,rainy_days,heavy_rain_days,avg_wind,avg_wind_gust,windy_days,gusty_days,avg_sunshine_hour,sunny_days,low_sunshine_days,avg_shortwave,hot_days,extreme_hot_days,cold_days,freezing_days,avg_pm25,avg_pm10,avg_co,avg_no2,avg_so2,avg_ozone,avg_dust,good_air_days,polluted_days,dusty_days,ozone_high_days,climate_comfort_index,air_quality_score,tourism_comfort_index,pollution_index,summer_escape_index,winter_retirement_index,city_type,type_color,air_quality_display_score,climate_comfort_display_score,summer_escape_display_score,winter_retirement_display_score,sunshine_display_score,extreme_weather_penalty,tourism_suitability_score_ds01
三亚,18.2528,109.5119,3653,25.7504243087873,28.327977005201205,23.674076101834107,4.653900903367096,29.18538187790857,3.43495756912127,80.64221188064604,14311.3,3.9176840952641663,2443,113,19.068436901177115,40.74916506980564,218,742,10.02562561213006,3117,190,18.60745414727621,1237,0,0,0,12.79962363138686,18.216389142335764,239.34249543795625,5.438518856447689,3.4703771289537717,70.88343978102189,0.3412408759124087,1088.0,0.0,1.0,74.0,73.28041849735826,94.89234019438342,79.90280538618488,5.1076598056165805,36.83117866018633,87.21887650463492,滨海暖冬度假型,#8da0cb,100.0,87.3742793721055,1.3671202834155067,100.0,100.0,7.047619047619048,78.64721474128181
上海,31.2304,121.4737,3653,17.27350123186422,21.345414727621133,13.75245004106214,7.592964686558992,17.33977552696414,0.0662742950999178,77.07829181494662,13911.4,3.8082124281412537,1971,121,18.04333424582535,32.39786476868327,131,158,7.481526555038477,2122,824,14.191420750068437,741,139,225,28,49.80781630170316,66.69149178832117,1215.83348540146,61.93951110097324,53.54525547445255,34.8361846107056,3.221943430656934,456.0,201.0,94.0,14.0,68.8803648216155,87.82438220092936,74.80437399490448,12.175617799070649,42.39683776019007,70.26585291100233,湿润宜居综合型,#fc8d62,33.47951563172937,48.41434406673546,16.914371672847032,61.320543773614766,38.43214141456255,26.79412396917317,23.688422486102603
丽江,26.855,100.2278,3653,12.33175472214618,18.90249110320285,6.850917054475774,12.051574048727074,10.967807281686284,-1.363947440459896,69.84533260333973,18056.3,4.942868874897345,2367,177,11.77440459895976,38.0015056118259,0,672,9.799144515162576,3021,189,17.90376676704079,5,0,635,3,8.90306037104623,11.77339948296837,242.19882907542572,6.740355079075426,2.7165982360097325,84.64545316301704,2.0340252433090025,1093.0,0.0,61.0,233.0,68.12823843554253,94.6191936732915,76.16904264068937,5.380806326708491,72.14011982308179,71.86834502456621,高原避暑型,#66c2a5,97.4292661468319,41.754699093673096,100.0,64.97673661835323,94.51909857381514,12.61628706690328,74.88663918013326
乌鲁木齐,43.8256,87.6168,3653,8.461730084861758,13.372269367643034,3.504735833561456,9.867533534081575,5.067916780728169,-3.3938133041335887,53.21461812209143,2567.2,0.7027648508075554,1033,2,17.836819052833288,32.70046537092801,263,321,9.418138055479512,2865,216,15.511973720229948,550,102,1440,1097,59.744689020681264,231.88055809002435,530.891651459854,37.60574057177615,14.75952706812652,53.43871654501217,380.6117700729927,325.0,272.0,824.0,46.0,64.93773378004722,85.7527453610965,71.13083758911661,14.2472546389035,62.92272545837718,45.56265910612291,北方大陆四季型,#e78ac3,13.982188942965246,13.504622133283267,74.25189995134703,4.958556299791874,85.29864319708071,54.61118680569895,5.821581816824942
北京,39.9042,116.4074,3653,13.231179852176291,18.87894880919792,8.099890500958116,10.779058308239804,11.258992608814673,-1.9721872433616203,51.69011771147002,6472.2,1.771749247194087,967,60,17.174404598959757,31.99351218176841,193,297,8.833618278735894,2772,327,14.346671229126745,787,169,1158,603,79.3105155109489,106.18983424574208,1290.8700197688563,58.54203543187348,62.21504714111922,37.62188260340633,12.865647810218976,157.0,474.0,339.0,40.0,66.54543932335676,84.2671048844232,72.04238664568086,15.732895115576795,48.88946201401393,53.094140254678095,北方大陆四季型,#e78ac3,0.0,27.73992664848352,35.05103071674214,22.14213383665089,71.1531126389728,51.15974093133856,0.0
南京,32.0603,118.7969,3653,16.814316999726252,21.168135778811934,12.9805639200657,8.187571858746237,16.77766219545579,-0.0366548042704626,73.56775253216534,12426.8,3.401806734191076,1698,119,15.750917054475773,31.37831918970709,39,144,7.506601480518295,2147,789,14.017919518204216,758,108,371,45,48.07468826034063,63.75052843673966,747.0162712895377,49.7724300486618,39.258842761557176,43.379866180048666,4.440541362530413,390.0,135.0,142.0,66.0,69.34531441279864,88.91110508239571,75.2210302214157,11.08889491760429,42.349617365882864,68.62302318471987,湿润宜居综合型,#fc8d62,43.70726918037442,52.53120429792245,16.78246504187826,57.57231796987005,39.038961130044356,23.518568403021654,27.899974114396176
厦门,24.4798,118.0894,3653,22.341582261155217,26.252203668217906,19.35964960306597,6.89255406515193,23.695428415001366,1.3538461538461537,74.0517382972899,13486.2,3.691814946619217,2073,125,21.63180947166712,40.30681631535724,427,623,8.84775932947045,2635,421,16.33226115521489,1190,161,1,0,29.030938260340637,39.6044822080292,458.33774330900246,34.84109260948905,26.538134884428224,59.80995285888078,1.2492776763990268,791.0,28.0,30.0,68.0,74.15287893636538,91.50725777519916,79.4797517371023,8.492742224800836,37.83473966225247,81.65646074679012,滨海暖冬度假型,#8da0cb,68.14110633379534,95.09941291936265,4.1704926968896885,87.30897673620164,71.49532974307802,19.029030502645096,63.97155885921105
哈尔滨,45.8038,126.5349,3653,5.476320832192719,10.50897892143444,0.7063783191897071,9.80260060224473,2.470161511086778,-3.0061593211059403,64.49356693128935,6681.8,1.82912674514098,1472,33,19.01760197098276,35.360498220640565,251,431,8.956535447273168,2644,350,13.748560087599232,148,4,1681,1274,25.714887469586376,34.20531858272506,397.3959093673966,17.878482360097323,11.808964416058394,56.68552311435523,3.298889902676399,868.0,17.0,90.0,44.0,63.41254997798686,93.20840179573965,72.59431648928442,6.791598204260366,62.716935807778015,43.38934722064237,北方大陆四季型,#e78ac3,84.1515190062169,0.0,73.67704199225888,0.0,74.12774007304635,25.080256559326582,21.416502449471107
大理,25.6065,100.2676,3653,15.726663016698604,21.083712017519847,11.54754995893786,9.536162058581986,15.007528059129482,-0.7191349575691213,73.0388721598686,11364.2,3.110922529427868,2067,78,13.964686558992607,38.741801259238976,0,618,9.794176234145452,3032,230,17.629781001916232,18,0,4,0,13.58125,17.728889142335767,269.24277676399026,11.36898950729927,6.439180352798053,79.97722779805353,2.1514218369829683,1087.0,0.0,66.0,244.0,74.66049677189915,93.99647072774796,80.92830239997578,6.003529272252035,66.0451991812403,80.3409881422601,高原避暑型,#66c2a5,91.56847410432725,99.59407582342574,82.97429617683892,84.30763808160093,94.39886488156861,6.404983702675075,100.0
广州,23.1291,113.2644,3653,22.76556255132768,26.70125923898166,19.57675882836025,7.124500410621407,24.71979195182042,1.9542294004927456,75.72789488091979,22916.2,6.273254859019984,2480,236,17.10391459074733,33.27919518204216,87,178,7.7877090389938255,2191,659,14.68874076101834,1297,57,0,0,44.0534329379562,56.20296152676399,722.7345650851582,52.99228254257908,42.44567746350365,44.00402980535279,0.7323981143552311,463.0,114.0,16.0,11.0,74.45478153210985,89.1785614989004,79.16513432111022,10.821438501099612,36.60473582937618,81.64906018251922,滨海暖冬度假型,#8da0cb,46.224450294038505,97.7725861271286,0.7345692139586029,87.29209185426978,45.841837126274086,23.33613731411097,53.39033957707743
