,avg_temp,avg_temp_max,avg_temp_min,avg_temp_range,avg_apparent_temp,avg_apparent_gap,avg_humidity,total_precipitation,avg_precipitation,rainy_days,heavy_rain_days,avg_wind,avg_wind_gust,avg_sunshine_hour,avg_shortwave,hot_days,extreme_hot_days,cold_days,freezing_days,climate_comfort_index
avg_temp,1.0,0.9864714264735792,0.9960942852784496,-0.7658126885067288,0.9980591716125052,0.9720844586971139,0.7438476221166572,0.6223753223285206,0.6223753223285204,0.6850872491194908,0.54736169004391,0.1377760323685841,0.10810079034393474,-0.16309217304134244,0.1881653412586293,0.7707128582519762,0.06728674614204516,-0.8564652780846225,-0.7487573496362268,0.827946903978154
avg_temp_max,0.9864714264735792,1.0,0.9687676566008988,-0.6508213086697311,0.9812971225609947,0.9466515181278106,0.7031708908182303,0.6547923338178114,0.6547923338178117,0.7083424115070526,0.5752181746830037,0.051498520833545995,0.10677225653614211,-0.13690893320299427,0.22782079774691655,0.7400543674453365,0.08830397043511007,-0.8694908443678051,-0.7833891019224106,0.8599197280617827
avg_temp_min,0.9960942852784496,0.9687676566008988,1.0,-0.8187612941290251,0.9962458052155314,0.9761427666072094,0.7672882542478083,0.6055649466747136,0.6055649466747137,0.6737790056115326,0.532735958164643,0.1830144146569394,0.11916667410476549,-0.16827530848624775,0.17353007987681118,0.7676949715438297,0.04102236989365719,-0.8467147647953921,-0.7270637628932312,0.8091362379675633
avg_temp_range,-0.7658126885067288,-0.6508213086697311,-0.8187612941290251,1.0,-0.7782568558339039,-0.7969218931600873,-0.7211939190418927,-0.3380448344855629,-0.3380448344855628,-0.42291510654874087,-0.29929911315187124,-0.4411140693087653,-0.11764894787235816,0.19823242279294254,-0.0038299830135137946,-0.6370416001410767,0.07885167327132535,0.5792942588194409,0.41230324272083363,-0.4863973103760479
avg_apparent_temp,0.9980591716125052,0.9812971225609947,0.9962458052155314,-0.7782568558339039,1.0,0.9848089300932324,0.7685362375598093,0.6360149644071498,0.6360149644071499,0.705771468749999,0.5580238602001777,0.12083307494117236,0.09140669931591917,-0.17889291316238123,0.1706018731330342,0.7703840461975343,0.05869153503012141,-0.8546438895444767,-0.7397907732934841,0.8203823258428341
avg_apparent_gap,0.9720844586971139,0.9466515181278106,0.9761427666072094,-0.7969218931600873,0.9848089300932324,1.0,0.8215440233206324,0.6609440623442248,0.6609440623442248,0.7489065140370691,0.5762574034135046,0.07109974431226283,0.042973577129459,-0.21926605979347685,0.11811292679560105,0.7535950514353202,0.033515393751689986,-0.8319569917776758,-0.699546506386527,0.7823869787417705
avg_humidity,0.7438476221166572,0.7031708908182303,0.7672882542478083,-0.7211939190418927,0.7685362375598093,0.8215440233206324,1.0,0.6762766374135457,0.6762766374135456,0.8204239089315045,0.5530989149547179,0.016597032681518267,0.1185331473228286,-0.2702729682683636,0.09712207557354763,0.33650713586114334,-0.18145765850972098,-0.8440872881996535,-0.7375960158341966,0.673898078812986
total_precipitation,0.6223753223285206,0.6547923338178114,0.6055649466747136,-0.3380448344855629,0.6360149644071498,0.6609440623442248,0.6762766374135457,1.0,1.0,0.8160334125998919,0.9637422486887046,-0.15772149957230794,0.06418682150429816,-0.24993827349451828,0.06437686588061485,0.37648087115020973,-0.21542854176455695,-0.6980683652680494,-0.6209027993888189,0.5997336208951777
avg_precipitation,0.6223753223285204,0.6547923338178117,0.6055649466747137,-0.3380448344855628,0.6360149644071499,0.6609440623442248,0.6762766374135456,1.0,1.0,0.8160334125998919,0.963742248688705,-0.157721499572308,0.06418682150429827,-0.2499382734945181,0.064376865880615,0.3764808711502096,-0.21542854176455709,-0.6980683652680493,-0.6209027993888188,0.5997336208951777
rainy_days,0.6850872491194908,0.7083424115070526,0.6737790056115326,-0.42291510654874087,0.705771468749999,0.7489065140370691,0.8204239089315045,0.8160334125998919,0.8160334125998919,1.0,0.6523827119478393,-0.20728274231445115,0.09868013885021999,-0.16368327391607068,0.20536594248089216,0.29832867960163306,-0.25099556342361135,-0.8157277956970067,-0.6527960717949248,0.7769188307299147
