city,year,season,lat,lon,records,avg_temp,avg_temp_max,avg_temp_min,avg_temp_range,avg_apparent_temp,avg_apparent_gap,avg_humidity,total_precipitation,avg_precipitation,rainy_days,heavy_rain_days,avg_wind,avg_wind_gust,windy_days,gusty_days,avg_sunshine_hour,sunny_days,low_sunshine_days,avg_shortwave,hot_days,extreme_hot_days,cold_days,freezing_days,avg_pm25,avg_pm10,avg_co,avg_no2,avg_so2,avg_ozone,avg_dust,good_air_days,polluted_days,dusty_days,ozone_high_days,climate_comfort_index,air_quality_score,tourism_comfort_index,pollution_index,summer_escape_index,winter_retirement_index,city_type
三亚,2016,秋季,18.2528,109.5119,91,26.357142857142858,28.603296703296703,24.626373626373628,3.976923076923077,30.04725274725275,3.6901098901098894,84.12087912087912,604.6,6.643956043956044,70,5,20.021978021978025,35.46263736263736,12,12,9.14821053113553,74,7,15.034175824175824,23,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,72.35560151043836,,,,,,滨海暖冬度假型
三亚,2016,春季,18.2528,109.5119,92,25.98913043478261,28.82608695652174,23.918478260869566,4.907608695652174,30.280434782608697,4.291304347826086,84.3586956521739,135.8,1.4760869565217392,46,0,15.368478260869566,27.93586956521739,0,0,10.566938375603865,83,4,20.32282608695652,44,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,71.88738264077469,,,,,,滨海暖冬度假型
三亚,2016,夏季,18.2528,109.5119,92,28.483695652173918,30.567391304347822,26.73478260869565,3.832608695652174,34.042391304347824,5.558695652173912,85.56521739130434,875.1,9.511956521739132,90,4,18.84130434782609,34.625,8,8,10.25191560990338,77,7,19.602065217391303,71,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,64.98407873961078,,,,36.75104320356129,,滨海暖冬度假型
三亚,2016,冬季,18.2528,109.5119,91,21.353846153846156,24.140659340659344,19.052747252747253,5.087912087912088,21.986813186813187,0.6329670329670332,79.38461538461539,120.6,1.3252747252747252,36,0,20.732967032967032,36.24505494505495,6,7,8.29612268009768,63,8,12.757912087912088,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,81.11886135269185,,,,,84.77107661398001,滨海暖冬度假型
三亚,2017,秋季,18.2528,109.5119,91,26.352747252747253,28.73076923076923,24.4978021978022,4.232967032967033,29.834065934065936,3.4813186813186814,80.65934065934066,542.9,5.965934065934066,69,4,21.11868131868132,45.2010989010989,10,26,9.353317032967032,73,6,16.726263736263736,26,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,72.91024326466868,,,,,,滨海暖冬度假型
三亚,2017,春季,18.2528,109.5119,92,25.88804347826087,28.330434782608695,23.969565217391303,4.360869565217391,30.02717391304348,4.139130434782609,83.71739130434783,210.5,2.2880434782608696,69,0,16.01086956521739,36.73804347826087,2,9,10.878282155797102,84,1,20.289239130434783,12,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,72.63244261785236,,,,,,滨海暖冬度假型
三亚,2017,夏季,18.2528,109.5119,92,28.355434782608693,30.1,26.73586956521739,3.364130434782609,34.00760869565217,5.652173913043479,85.1195652173913,711.6,7.734782608695652,87,3,18.03369565217391,40.43804347826087,2,12,10.189775120772946,79,7,19.79217391304348,54,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,65.23157802469215,,,,38.7826903487618,,滨海暖冬度假型
三亚,2017,冬季,18.2528,109.5119,90,21.813333333333333,24.813333333333333,19.68,5.133333333333334,21.832222222222224,0.0188888888888889,74.46666666666667,20.0,0.2222222222222222,22,0,23.921111111111117,49.90555555555556,10,45,9.233150185185185,72,4,15.169444444444444,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,83.54536093164704,,,,,86.43190468542751,滨海暖冬度假型
三亚,2018,秋季,18.2528,109.5119,91,26.31648351648352,28.882417582417585,24.2,4.682417582417583,29.85604395604396,3.53956043956044,79.75824175824175,159.8,1.7560439560439562,58,1,18.23736263736264,39.66263736263736,0,18,10.384488522588525,84,1,18.618901098901095,10,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,73.82988560160177,,,,,,滨海暖冬度假型
三亚,2018,春季,18.2528,109.5119,92,25.721739130434784,28.27608695652174,23.631521739130434,4.644565217391304,29.407608695652176,3.685869565217391,80.82608695652173,98.9,1.075,58,0,16.196739130434782,36.89347826086957,1,7,11.47147518115942,91,0,21.34,30,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,73.4907468572353,,,,,,滨海暖冬度假型
