time,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,city,lat,lon,year,month,day,season
2023-01-01,22.46666666666667,36.3875,588.9583333333334,5.870833333333334,11.716666666666669,92.41666666666669,0.0,三亚,18.2528,109.5119,2023,1,1,winter
2023-01-02,15.533333333333331,24.804166666666664,532.875,6.95,13.183333333333332,84.41666666666667,0.0,三亚,18.2528,109.5119,2023,1,2,winter
2023-01-03,21.7875,33.65,630.0833333333334,5.929166666666667,11.066666666666668,78.95833333333333,0.0,三亚,18.2528,109.5119,2023,1,3,winter
2023-01-04,16.837500000000002,27.2125,652.2916666666666,8.116666666666667,9.208333333333334,67.79166666666667,0.0,三亚,18.2528,109.5119,2023,1,4,winter
2023-01-05,19.22083333333333,33.858333333333334,485.2083333333333,5.683333333333334,9.416666666666666,99.625,0.0,三亚,18.2528,109.5119,2023,1,5,winter
2023-01-06,20.6625,31.9125,556.875,3.1666666666666665,15.870833333333332,112.70833333333331,0.0,三亚,18.2528,109.5119,2023,1,6,winter
2023-01-07,25.72083333333333,40.1625,575.7916666666666,5.270833333333333,15.804166666666667,103.25,0.0,三亚,18.2528,109.5119,2023,1,7,winter
2023-01-08,13.404166666666669,20.84583333333333,482.3333333333333,6.629166666666666,6.075,91.70833333333331,0.0,三亚,18.2528,109.5119,2023,1,8,winter
2023-01-09,10.854166666666666,15.7875,451.0416666666667,11.420833333333334,3.2458333333333336,72.33333333333333,0.0,三亚,18.2528,109.5119,2023,1,9,winter
2023-01-10,9.4375,14.2125,406.0833333333333,8.558333333333334,3.583333333333333,74.125,0.0,三亚,18.2528,109.5119,2023,1,10,winter
2023-01-11,9.208333333333334,15.191666666666668,209.54166666666663,5.941666666666666,1.2333333333333334,73.70833333333333,0.0,三亚,18.2528,109.5119,2023,1,11,winter
2023-01-12,11.279166666666669,17.900000000000002,161.125,10.525,1.5416666666666667,56.875,0.0,三亚,18.2528,109.5119,2023,1,12,winter
2023-01-13,11.958333333333334,17.7625,205.875,15.145833333333334,1.8166666666666669,45.75,0.0,三亚,18.2528,109.5119,2023,1,13,winter
2023-01-14,11.0375,16.5125,197.125,10.458333333333334,1.0375,52.958333333333336,0.0,三亚,18.2528,109.5119,2023,1,14,winter
2023-01-15,13.979166666666666,21.9,298.9583333333333,6.5,1.9375,78.91666666666667,0.0,三亚,18.2528,109.5119,2023,1,15,winter
2023-01-16,12.841666666666669,19.35833333333333,545.125,6.0125,5.708333333333333,74.25,0.0,三亚,18.2528,109.5119,2023,1,16,winter
2023-01-17,12.5375,19.491666666666667,476.5,6.695833333333333,5.791666666666667,76.70833333333333,0.0,三亚,18.2528,109.5119,2023,1,17,winter
2023-01-18,16.333333333333332,24.754166666666663,506.1666666666667,5.929166666666667,6.570833333333333,73.79166666666667,0.0,三亚,18.2528,109.5119,2023,1,18,winter
2023-01-19,24.354166666666668,37.454166666666666,451.3333333333333,7.116666666666667,5.45,88.20833333333333,0.0,三亚,18.2528,109.5119,2023,1,19,winter
2023-01-20,20.008333333333333,30.316666666666663,433.4166666666667,5.8875,8.15,98.0,0.0,三亚,18.2528,109.5119,2023,1,20,winter
2023-01-21,18.741666666666667,31.445833333333336,442.875,7.329166666666667,5.429166666666667,96.58333333333331,0.0,三亚,18.2528,109.5119,2023,1,21,winter
2023-01-22,15.095833333333331,24.441666666666663,347.7916666666667,7.366666666666667,1.7541666666666669,84.375,0.0,三亚,18.2528,109.5119,2023,1,22,winter
2023-01-23,11.3375,17.912499999999998,289.5,5.541666666666667,1.4208333333333334,77.95833333333333,0.0,三亚,18.2528,109.5119,2023,1,23,winter
2023-01-24,12.279166666666669,18.79583333333333,597.9583333333334,4.383333333333334,5.295833333333333,88.0,0.0,三亚,18.2528,109.5119,2023,1,24,winter
2023-01-25,22.5875,37.25833333333333,505.9166666666667,3.5125,7.5,105.0,0.0,三亚,18.2528,109.5119,2023,1,25,winter
2023-01-26,14.233333333333334,22.445833333333336,335.4166666666667,5.666666666666667,1.9916666666666665,83.125,0.0,三亚,18.2528,109.5119,2023,1,26,winter
2023-01-27,12.791666666666666,19.141666666666666,428.2083333333333,6.679166666666667,4.591666666666667,73.33333333333333,0.0,三亚,18.2528,109.5119,2023,1,27,winter
2023-01-28,22.39583333333333,36.21666666666667,536.375,3.1833333333333336,15.345833333333331,93.20833333333331,0.125,三亚,18.2528,109.5119,2023,1,28,winter
2023-01-29,23.96666666666667,42.03333333333333,459.125,5.175,18.9875,118.58333333333331,1.625,三亚,18.2528,109.5119,2023,1,29,winter
2023-01-30,22.754166666666663,38.325,417.0,8.629166666666666,14.629166666666668,96.16666666666669,0.7916666666666666,三亚,18.2528,109.5119,2023,1,30,winter
2023-01-31,20.2125,35.19166666666667,355.0833333333333,9.9125,5.512499999999999,82.625,0.0,三亚,18.2528,109.5119,2023,1,31,winter
2023-02-01,12.1875,19.716666666666665,197.25,6.141666666666667,1.1875,69.79166666666667,0.0,三亚,18.2528,109.5119,2023,2,1,winter
2023-02-02,9.779166666666669,15.266666666666666,139.66666666666666,4.945833333333334,1.2208333333333334,61.79166666666666,0.0,三亚,18.2528,109.5119,2023,2,2,winter
2023-02-03,10.0375,16.6125,180.45833333333331,3.5625,1.3375,72.70833333333333,0.0,三亚,18.2528,109.5119,2023,2,3,winter
2023-02-04,11.166666666666666,18.654166666666665,199.08333333333331,3.279166666666667,1.0083333333333333,81.08333333333333,0.0,三亚,18.2528,109.5119,2023,2,4,winter
2023-02-05,10.545833333333333,17.941666666666666,185.0,3.4458333333333333,0.9958333333333332,76.91666666666667,0.0,三亚,18.2528,109.5119,2023,2,5,winter
2023-02-06,9.233333333333333,14.929166666666667,157.79166666666666,5.495833333333334,1.05,59.583333333333336,0.0,三亚,18.2528,109.5119,2023,2,6,winter
2023-02-07,7.175,11.375,119.33333333333331,5.8375,1.075,47.375,0.0,三亚,18.2528,109.5119,2023,2,7,winter
2023-02-08,7.241666666666667,11.983333333333334,104.79166666666669,5.0,0.9875,45.125,0.0,三亚,18.2528,109.5119,2023,2,8,winter
2023-02-09,8.891666666666667,15.145833333333334,108.54166666666669,4.454166666666667,0.9958333333333336,49.125,0.0,三亚,18.2528,109.5119,2023,2,9,winter
2023-02-10,9.8125,15.283333333333331,110.79166666666669,7.108333333333333,1.0375,43.875,0.0,三亚,18.2528,109.5119,2023,2,10,winter
